name,author,rating,quantity
The Constitution of the United States,Delegates of the ConstitutionalÂ…,4.8,10
The Daily Show with Jon Stewart Presents Earth (The Book): A Visitor's Guide to the Human Race,Jon Stewart,4.4,10
The Day the Crayons Quit,Drew Daywalt,4.8,10
"The Dukan Diet: 2 Steps to Lose the Weight, 2 Steps to Keep It Off Forever",Pierre Dukan,4.1,10
The Elegance of the Hedgehog,Muriel Barbery,4.0,10
The Fault in Our Stars,John Green,4.7,10
The Five Dysfunctions of a Team: A Leadership Fable,Patrick Lencioni,4.6,10
The Five Love Languages: How to Express Heartfelt Commitment to Your Mate,Gary Chapman,4.6,10
The Four Agreements: A Practical Guide to Personal Freedom (A Toltec Wisdom Book),Don Miguel Ruiz,4.7,10
The Getaway,Jeff Kinney,4.8,10
The Girl on the Train,Paula Hawkins,4.1,10
The Girl Who Kicked the Hornet's Nest (Millennium Trilogy),Stieg Larsson,4.7,10
The Girl Who Played with Fire (Millennium Series),Stieg Larsson,4.7,10
The Girl Who Played with Fire (Millennium),Stieg Larsson,4.7,10
The Girl with the Dragon Tattoo (Millennium Series),Stieg Larsson,4.4,10
The Going-To-Bed Book,Sandra Boynton,4.8,10
The Goldfinch: A Novel (Pulitzer Prize for Fiction),Donna Tartt,3.9,10
The Great Gatsby,F. Scott Fitzgerald,4.4,10
The Guardians: A Novel,John Grisham,4.5,10
The Guernsey Literary and Potato Peel Pie Society,Mary Ann Shaffer,4.7,10
The Handmaid's Tale,Margaret Atwood,4.3,10
The Harbinger: The Ancient Mystery that Holds the Secret of America's Future,Jonathan Cahn,4.6,10
The Hate U Give,Angie Thomas,4.8,10
The Help,Kathryn Stockett,4.8,10
"The House of Hades (Heroes of Olympus, Book 4)",Rick Riordan,4.8,10
The Hunger Games,Suzanne Collins,4.7,10
The Hunger Games (Book 1),Suzanne Collins,4.7,10
The Hunger Games Trilogy Boxed Set (1),Suzanne Collins,4.8,10
The Immortal Life of Henrietta Lacks,Rebecca Skloot,4.7,10
The Instant Pot Electric Pressure Cooker Cookbook: Easy Recipes for Fast & Healthy Meals,Laurel Randolph,4.3,10
The Last Lecture,Randy Pausch,4.7,10
"The Last Olympian (Percy Jackson and the Olympians, Book 5)",Rick Riordan,4.8,10
The Legend of Zelda: Hyrule Historia,Patrick Thorpe,4.9,10
The Lego Ideas Book: Unlock Your Imagination,Daniel Lipkowitz,4.4,10
The Life-Changing Magic of Tidying Up: The Japanese Art of Decluttering and Organizing,Marie KondÅ,4.5,10
The Litigators,John Grisham,4.4,10
"The Lost Hero (Heroes of Olympus, Book 1)",Rick Riordan,4.8,10
The Lost Symbol,Dan Brown,4.2,10
The Love Dare,Stephen Kendrick,4.8,10
The Magnolia Story,Chip Gaines,4.9,10
"The Mark of Athena (Heroes of Olympus, Book 3)",Rick Riordan,4.8,10
The Martian,Andy Weir,4.7,10
The Maze Runner (Book 1),James Dashner,4.5,10
The Meltdown (Diary of a Wimpy Kid Book 13),Jeff Kinney,4.8,10
The Mueller Report,The Washington Post,4.6,10
The Nightingale: A Novel,Kristin Hannah,4.8,10
The Official SAT Study Guide,The College Board,4.4,10
"The Official SAT Study Guide, 2016 Edition (Official Study Guide for the New Sat)",The College Board,4.3,10
The Paris Wife: A Novel,Paula McLain,4.3,10
"The Pioneer Woman Cooks: A Year of Holidays: 140 Step-by-Step Recipes for Simple, Scrumptious Celebrations",Ree Drummond,4.8,10
"The Pioneer Woman Cooks: Dinnertime - Comfort Classics, Freezer Food, 16-minute Meals, and Other Delicious Ways to Solveâ€¦",Ree Drummond,4.8,10
The Pioneer Woman Cooks: Food from My Frontier,Ree Drummond,4.8,10
"The Plant Paradox Cookbook: 100 Delicious Recipes to Help You Lose Weight, Heal Your Gut, and Live Lectin-Free",Dr. Steven R Gundry MD,4.5,10
"The Plant Paradox: The Hidden Dangers in ""Healthy"" Foods That Cause Disease and Weight Gain",Dr. Steven R Gundry MD,4.4,10
The Pout-Pout Fish,Deborah Diesen,4.8,10
The Power of Habit: Why We Do What We Do in Life and Business,Charles Duhigg,4.6,10
The President Is Missing: A Novel,James Patterson,4.3,10
The Racketeer,John Grisham,4.3,10
"The Red Pyramid (The Kane Chronicles, Book 1)",Rick Riordan,4.6,10
"The Road to Serfdom: Text and Documents--The Definitive Edition (The Collected Works of F. A. Hayek, Volume 2)",F. A. Hayek,4.6,10
"The Serpent's Shadow (The Kane Chronicles, Book 3)",Rick Riordan,4.8,10
The Shack: Where Tragedy Confronts Eternity,William P. Young,4.6,10
The Short Second Life of Bree Tanner: An Eclipse Novella (The Twilight Saga),Stephenie Meyer,4.6,10
The Silent Patient,Alex Michaelides,4.5,10
"The Son of Neptune (Heroes of Olympus, Book 2)",Rick Riordan,4.8,10
The Subtle Art of Not Giving a F*ck: A Counterintuitive Approach to Living a Good Life,Mark Manson,4.6,10
The Sun and Her Flowers,Rupi Kaur,4.7,10
"The Third Wheel (Diary of a Wimpy Kid, Book 7)",Jeff Kinney,4.7,10
"The Throne of Fire (The Kane Chronicles, Book 2)",Rick Riordan,4.7,10
The Time Traveler's Wife,Audrey Niffenegger,4.4,10
The Tipping Point: How Little Things Can Make a Big Difference,Malcolm Gladwell,4.4,10
The Total Money Makeover: Classic Edition: A Proven Plan for Financial Fitness,Dave Ramsey,4.7,10
The Twilight Saga Collection,Stephenie Meyer,4.7,10
"The Ugly Truth (Diary of a Wimpy Kid, Book 5)",Jeff Kinney,4.8,10
The Unofficial Harry Potter Cookbook: From Cauldron Cakes to Knickerbocker Glory--More Than 150 Magical Recipes forâ€¦,Dinah Bucholz,4.7,10
The Very Hungry Caterpillar,Eric Carle,4.9,10
The Whole30: The 30-Day Guide to Total Health and Food Freedom,Melissa Hartwig Urban,4.6,10
The Wonderful Things You Will Be,Emily Winfield Martin,4.9,10
The Wonky Donkey,Craig Smith,4.8,10
The Wright Brothers,David McCullough,4.7,10
"Things That Matter: Three Decades of Passions, Pastimes and Politics [Deckled Edge]",Charles Krauthammer,4.7,10
"Thinking, Fast and Slow",Daniel Kahneman,4.6,10
Thirteen Reasons Why,Jay Asher,4.5,10
Thomas Jefferson: The Art of Power,Jon Meacham,4.5,10
Three Cups of Tea: One Man's Mission to Promote Peace - One School at a Time,Greg Mortenson,4.3,10
Thug Kitchen: The Official Cookbook: Eat Like You Give a F*ck (Thug Kitchen Cookbooks),Thug Kitchen,4.6,10
